START EXPERIMENT
2025-07-09 10:23:28.664966epoch[453/500] psnrTr:50.617355 lossTr:0.001231224742 lr:0.000036347789
2025-07-09 10:24:43.225931epoch[454/500] psnrTr:50.280175 lossTr:0.001266726991 lr:0.000036093286
2025-07-09 10:25:57.588279epoch[455/500] psnrTr:50.158354 lossTr:0.001268442720 lr:0.000035843873
2025-07-09 10:27:11.988767epoch[456/500] psnrTr:50.200819 lossTr:0.001247743960 lr:0.000035599558
2025-07-09 10:28:26.468997epoch[457/500] psnrTr:50.174977 lossTr:0.001247013803 lr:0.000035360352
2025-07-09 10:29:40.997679epoch[458/500] psnrTr:50.505840 lossTr:0.001223025029 lr:0.000035126264
2025-07-09 10:30:55.248535epoch[459/500] psnrTr:50.245807 lossTr:0.001227949862 lr:0.000034897303
2025-07-09 10:32:09.605106epoch[460/500] psnrTr:50.198544 lossTr:0.001265971805 lr:0.000034673479
2025-07-09 10:33:24.432784epoch[461/500] psnrTr:50.540213 lossTr:0.001211474300 lr:0.000034454799
2025-07-09 10:34:39.441621epoch[462/500] psnrTr:50.623123 lossTr:0.001235161093 lr:0.000034241273
2025-07-09 10:35:58.291639epoch[463/500] psnrTr:49.995020 lossTr:0.001275966875 lr:0.000034032909
2025-07-09 10:37:32.243954epoch[464/500] psnrTr:50.282078 lossTr:0.001256095478 lr:0.000033829716
2025-07-09 10:39:28.869913epoch[465/500] psnrTr:50.647216 lossTr:0.001246912871 lr:0.000033631701
2025-07-09 10:41:23.692056epoch[466/500] psnrTr:50.241219 lossTr:0.001259430661 lr:0.000033438872
2025-07-09 10:43:18.927683epoch[467/500] psnrTr:50.307336 lossTr:0.001268596970 lr:0.000033251237
2025-07-09 10:45:14.065519epoch[468/500] psnrTr:50.075639 lossTr:0.001291155000 lr:0.000033068803
2025-07-09 10:47:08.695579epoch[469/500] psnrTr:50.166560 lossTr:0.001271005836 lr:0.000032891578
2025-07-09 10:49:03.870419epoch[470/500] psnrTr:50.019419 lossTr:0.001286535291 lr:0.000032719568
2025-07-09 10:50:59.478658epoch[471/500] psnrTr:50.195467 lossTr:0.001271492802 lr:0.000032552780
2025-07-09 10:52:55.550359epoch[472/500] psnrTr:50.152850 lossTr:0.001260356745 lr:0.000032391221
2025-07-09 10:54:51.233940epoch[473/500] psnrTr:50.304142 lossTr:0.001258572214 lr:0.000032234897
2025-07-09 10:56:44.376098epoch[474/500] psnrTr:50.285755 lossTr:0.001256595482 lr:0.000032083815
2025-07-09 10:58:38.861728epoch[475/500] psnrTr:50.429716 lossTr:0.001229004352 lr:0.000031937980
2025-07-09 11:00:34.558367epoch[476/500] psnrTr:50.375786 lossTr:0.001246961066 lr:0.000031797398
2025-07-09 11:02:30.103609epoch[477/500] psnrTr:50.373803 lossTr:0.001238871948 lr:0.000031662074
2025-07-09 11:04:04.450531epoch[478/500] psnrTr:50.396683 lossTr:0.001228723442 lr:0.000031532014
2025-07-09 11:05:18.227381epoch[479/500] psnrTr:50.362607 lossTr:0.001240039594 lr:0.000031407224
2025-07-09 11:06:31.640314epoch[480/500] psnrTr:50.423330 lossTr:0.001244035666 lr:0.000031287708
2025-07-09 11:07:45.312791epoch[481/500] psnrTr:50.510241 lossTr:0.001199317630 lr:0.000031173470
2025-07-09 11:08:58.619670epoch[482/500] psnrTr:50.386908 lossTr:0.001244173269 lr:0.000031064515
2025-07-09 11:10:12.002963epoch[483/500] psnrTr:50.311334 lossTr:0.001238474040 lr:0.000030960848
2025-07-09 11:11:25.587400epoch[484/500] psnrTr:50.432431 lossTr:0.001253185677 lr:0.000030862473
2025-07-09 11:12:39.454996epoch[485/500] psnrTr:50.413072 lossTr:0.001232905779 lr:0.000030769393
2025-07-09 11:13:53.173385epoch[486/500] psnrTr:50.348835 lossTr:0.001233348507 lr:0.000030681613
2025-07-09 11:15:07.057832epoch[487/500] psnrTr:50.202388 lossTr:0.001266736537 lr:0.000030599135
2025-07-09 11:16:20.731704epoch[488/500] psnrTr:50.066661 lossTr:0.001301699551 lr:0.000030521963
2025-07-09 11:17:34.618157epoch[489/500] psnrTr:50.329663 lossTr:0.001229457324 lr:0.000030450100
2025-07-09 11:18:48.132361epoch[490/500] psnrTr:50.341701 lossTr:0.001218931167 lr:0.000030383548
2025-07-09 11:20:02.171272epoch[491/500] psnrTr:50.305420 lossTr:0.001260897494 lr:0.000030322312
2025-07-09 11:21:16.103591epoch[492/500] psnrTr:50.394946 lossTr:0.001242693979 lr:0.000030266392
2025-07-09 11:22:29.673163epoch[493/500] psnrTr:50.189646 lossTr:0.001279018354 lr:0.000030215791
2025-07-09 11:23:44.249177epoch[494/500] psnrTr:50.418525 lossTr:0.001247183187 lr:0.000030170511
2025-07-09 11:24:58.032552epoch[495/500] psnrTr:50.339096 lossTr:0.001266305218 lr:0.000030130554
2025-07-09 11:26:11.935496epoch[496/500] psnrTr:50.327450 lossTr:0.001228567911 lr:0.000030095921
2025-07-09 11:27:26.417605epoch[497/500] psnrTr:50.510363 lossTr:0.001199400867 lr:0.000030066614
2025-07-09 11:28:40.128622epoch[498/500] psnrTr:50.590579 lossTr:0.001194825047 lr:0.000030042634
2025-07-09 11:29:54.189995epoch[499/500] psnrTr:50.079770 lossTr:0.001261194586 lr:0.000030023982
2025-07-09 11:31:08.553032epoch[500/500] psnrTr:50.258710 lossTr:0.001256368821 lr:0.000030010659
